2022-04-19 13:49:45.2543|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-04-19 13:49:47.9948|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-04-19 13:49:47.9948|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-04-19 13:49:47.9948|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2022-04-19 13:49:47.9948|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2022-04-19 13:49:48.0068|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\bla\source\repos\SonicaWebAdmin\SonicaWebAdmin |url: |action: |
2022-04-19 13:49:49.9728|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[223] |url: https://localhost/|action: |
2022-04-19 13:50:44.2535|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:02.5594|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[24555] |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:04.6410|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[956] |url: https://localhost/favicon.ico|action: |
2022-04-19 13:51:16.8009|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:16.8197|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[20] |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:19.9427|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:19.9641|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[24] |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:37.2509|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:37.2742|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[25] |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:38.3331|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:38.3530|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[21] |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:38.9585|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:38.9752|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[18] |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:40.0019|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:51:40.0168|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[16] |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:52:21.3476|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-04-19 13:52:22.3191|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-04-19 13:52:22.3191|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-04-19 13:52:22.3191|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2022-04-19 13:52:22.3191|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2022-04-19 13:52:22.3191|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\bla\source\repos\SonicaWebAdmin\SonicaWebAdmin |url: |action: |
2022-04-19 13:52:23.4540|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[80] |url: https://localhost/|action: |
2022-04-19 13:52:31.7221|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:58:32.8626|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-04-19 13:58:33.8256|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-04-19 13:58:33.8256|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-04-19 13:58:33.8256|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2022-04-19 13:58:33.8346|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2022-04-19 13:58:33.8346|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\bla\source\repos\SonicaWebAdmin\SonicaWebAdmin |url: |action: |
2022-04-19 13:58:35.0280|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[139] |url: https://localhost/|action: |
2022-04-19 13:58:58.1529|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 13:59:16.1479|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[17409] |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 14:02:29.2556|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 14:02:30.0169|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[763] |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 14:29:18.0344|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-04-19 14:30:28.9227|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-04-19 14:31:50.6393|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-04-19 14:31:51.6122|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-04-19 14:31:51.6190|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-04-19 14:31:51.6190|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2022-04-19 14:31:51.6190|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2022-04-19 14:31:51.6190|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\bla\source\repos\SonicaWebAdmin\SonicaWebAdmin |url: |action: |
2022-04-19 14:31:52.7113|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[92] |url: https://localhost/|action: |
2022-04-19 14:33:23.5208|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-04-19 14:33:24.5316|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-04-19 14:33:24.5390|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-04-19 14:33:24.5390|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2022-04-19 14:33:24.5390|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2022-04-19 14:33:24.5390|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\bla\source\repos\SonicaWebAdmin\SonicaWebAdmin |url: |action: |
2022-04-19 14:33:25.5490|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[88] |url: https://localhost/|action: |
2022-04-19 14:33:33.8412|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 14:34:58.1906|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-04-19 14:34:59.1999|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-04-19 14:34:59.2097|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-04-19 14:34:59.2097|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2022-04-19 14:34:59.2097|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2022-04-19 14:34:59.2097|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\bla\source\repos\SonicaWebAdmin\SonicaWebAdmin |url: |action: |
2022-04-19 14:35:00.2366|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[97] |url: https://localhost/|action: |
2022-04-19 14:35:13.1576|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-04-19 14:36:16.3556|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-04-19 14:36:17.3653|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-04-19 14:36:17.3653|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-04-19 14:36:17.3653|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2022-04-19 14:36:17.3653|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2022-04-19 14:36:17.3653|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\bla\source\repos\SonicaWebAdmin\SonicaWebAdmin |url: |action: |
2022-04-19 14:36:18.4440|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[78] |url: https://localhost/|action: |
2022-04-19 14:36:26.8794|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
