2022-03-14 09:34:51.1162|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-03-14 09:34:52.8471|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-03-14 09:34:52.8580|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-03-14 09:34:52.8580|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2022-03-14 09:34:52.8580|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2022-03-14 09:34:52.8647|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\bla\source\repos\SonicaWebAdmin\SonicaWebAdmin |url: |action: |
2022-03-14 09:34:53.7357|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[144] |url: https://localhost/|action: |
2022-03-14 09:35:28.6754|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-03-14 09:36:18.6216|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[52390] |url: https://localhost/api/Values/restart|action: Restart|
2022-03-14 09:36:23.6578|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-03-14 09:36:51.9244|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[30202] |url: https://localhost/api/Values/restart|action: Restart|
2022-03-14 09:37:32.4083|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-03-14 09:37:33.5188|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-03-14 09:37:33.5284|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-03-14 09:37:33.5284|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2022-03-14 09:37:33.5284|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2022-03-14 09:37:33.5284|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\bla\source\repos\SonicaWebAdmin\SonicaWebAdmin |url: |action: |
2022-03-14 09:37:34.2825|0|INFO|SonicaWebAdmin.Startup|Время ответа(мс)[93] |url: https://localhost/|action: |
2022-03-14 09:37:40.1345|0|INFO|SonicaWebAdmin.Controllers.ValuesController|restart |url: https://localhost/api/Values/restart|action: Restart|
2022-03-14 09:37:56.3157|0|DEBUG|SonicaWebAdmin.Program|Запуск приложения |url: |action: |
2022-03-14 09:37:57.3030|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:5001 |url: |action: |
2022-03-14 09:37:57.3030|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5000 |url: |action: |
2022-03-14 09:37:57.3030|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
